head,pdi_rank,model,clean_f1_macro,masked_f1_macro,drop_f1_macro,relative_drop_f1_macro,pdi_f1_percent,n_common_pairs
action,1,attention_bias,0.8870358290515832,0.8789956552851037,0.008040173766479475,0.009064091328842953,0.9064091328842953,5944
action,2,task_gated_late,0.8571146777912934,0.8487550190897217,0.008359658701571626,0.009753255798994958,0.9753255798994958,5944
action,3,hgnet_task_region_scalar_gated_late,0.8649980278370228,0.8551258265547397,0.009872201282283166,0.011412975480382507,1.1412975480382508,5944
action,4,hgnet_explicit_region_scalar_mask_gate,0.8557637941304581,0.84590658442794,0.009857209702518133,0.011518610357352226,1.1518610357352226,5944
action,5,hgnet_task_gated_late,0.8608924256235692,0.8467331519635408,0.014159273660028338,0.016447204364438875,1.6447204364438874,5944
action,6,explicit_region_mask_gate,0.8577600945427574,0.8400168665187023,0.017743228024055036,0.020685536826603415,2.0685536826603417,5944
action,7,task_region_scalar_gated_late,0.8682805811050137,0.8463721732472679,0.021908407857745837,0.025231944989330745,2.5231944989330746,5944
action,8,explicit_region_scalar_mask_gate,0.8551407912449478,0.8333435588382301,0.021797232406717715,0.025489641740729548,2.548964174072955,5944
action,9,task_region_gated_late,0.8681568652456467,0.8446118408500712,0.023545024395575487,0.027120702880018548,2.7120702880018546,5944
action,10,occ_token_region_transformer,0.8737083108367727,0.8477961220965244,0.025912188740248254,0.02965771118215814,2.9657711182158137,5944
action,11,NoOcc,0.8654280367746917,0.8221559802436076,0.043272056531084124,0.050000756495423904,5.00007564954239,5944
gaze,1,explicit_region_scalar_mask_gate,0.509280914585808,0.5174938887619834,-0.008212974176175392,-0.0161266089911398,-1.61266089911398,372
gaze,2,task_region_scalar_gated_late,0.5573838746228161,0.5563980172467689,0.0009858573760472833,0.0017687224566990153,0.17687224566990153,372
gaze,3,attention_bias,0.5192138522562753,0.5107398876372753,0.008473964618999963,0.016320759899174177,1.6320759899174178,372
gaze,4,NoOcc,0.504848149816127,0.4887379465189052,0.016110203297221848,0.03191098809233908,3.191098809233908,372
gaze,5,hgnet_task_gated_late,0.49025802330576773,0.45452412878546844,0.03573389452029929,0.07288793415220154,7.288793415220154,372
gaze,6,occ_token_region_transformer,0.45442936288815794,0.4188489219592521,0.03558044092890583,0.0782969672179012,7.82969672179012,372
gaze,7,hgnet_explicit_region_scalar_mask_gate,0.6452517074359467,0.5851258700658954,0.06012583737005128,0.09318198879159091,9.318198879159091,372
gaze,8,task_gated_late,0.6246268089885364,0.5383333789129,0.08629343007563639,0.13815197944412935,13.815197944412935,372
gaze,9,explicit_region_mask_gate,0.5313397891022382,0.4558205555113065,0.07551923359093171,0.14212982942333463,14.212982942333463,372
gaze,10,task_region_gated_late,0.49000940441334845,0.4096631189378845,0.08034628547546396,0.16396886417242656,16.396886417242655,372
gaze,11,hgnet_task_region_scalar_gated_late,0.6667486949473301,0.5552635963478341,0.11148509859949607,0.1672070743360103,16.720707433601028,372
hands,1,explicit_region_scalar_mask_gate,0.7050745940246204,0.7063767152143762,-0.0013021211897558116,-0.001846785007985046,-0.18467850079850462,6054
hands,2,NoOcc,0.7053261272497856,0.7050526239945355,0.0002735032552501071,0.0003877685012414805,0.03877685012414805,6054
hands,3,task_region_gated_late,0.6927447750015,0.6922441848622052,0.0005005901392948209,0.0007226184265247428,0.07226184265247428,6054
hands,4,task_gated_late,0.6988730211794839,0.6983378630685446,0.0005351581109392933,0.00076574441239141,0.076574441239141,6054
hands,5,attention_bias,0.7016980447192008,0.7006489453233368,0.0010490993958640615,0.0014950866740463566,0.14950866740463564,6054
hands,6,hgnet_task_gated_late,0.7065109831752985,0.7051534990329493,0.0013574841423491524,0.001921391421614086,0.1921391421614086,6054
hands,7,task_region_scalar_gated_late,0.6930021993070317,0.6908944944628925,0.0021077048441391355,0.003041411479280639,0.3041411479280639,6054
hands,8,hgnet_explicit_region_scalar_mask_gate,0.7009865237313418,0.698658066451257,0.0023284572800847947,0.003321686225421921,0.3321686225421921,6054
hands,9,occ_token_region_transformer,0.7170798115683641,0.7144929506986071,0.002586860869757013,0.0036074936541570586,0.36074936541570585,6054
hands,10,hgnet_task_region_scalar_gated_late,0.7020138672170838,0.6994454769107984,0.0025683903062854174,0.003658603378401917,0.3658603378401917,6054
hands,11,explicit_region_mask_gate,0.6877433712185714,0.6844492638722227,0.003294107346348718,0.004789733328162925,0.4789733328162925,6054
talk,1,task_gated_late,0.7373949840918406,0.7405977172232272,-0.003202733131386637,-0.004343307454594436,-0.4343307454594436,5944
talk,2,hgnet_task_gated_late,0.7564219691535918,0.755246663693816,0.0011753054597758439,0.0015537695991180256,0.15537695991180256,5944
talk,3,explicit_region_scalar_mask_gate,0.7522289872977715,0.747923168282163,0.0043058190156085585,0.005724080151545782,0.5724080151545783,5944
talk,4,task_region_gated_late,0.7477065045094331,0.742972142725401,0.004734361784032082,0.0063318451230249435,0.6331845123024944,5944
talk,5,explicit_region_mask_gate,0.7412331267713888,0.7361837028127179,0.005049423958670807,0.006812194134745074,0.6812194134745074,5944
talk,6,NoOcc,0.7500188582121547,0.7444325139419886,0.0055863442701661326,0.007448271745436495,0.7448271745436494,5944
talk,7,task_region_scalar_gated_late,0.749275720164609,0.7413273501842834,0.007948369980325554,0.01060807092291656,1.060807092291656,5944
talk,8,attention_bias,0.7550197426272676,0.7462247565579565,0.008794986069311062,0.011648683567805596,1.1648683567805596,5944
talk,9,hgnet_explicit_region_scalar_mask_gate,0.7568239386515245,0.7474981067100868,0.009325831941437768,0.012322326851941448,1.2322326851941448,5944
talk,10,hgnet_task_region_scalar_gated_late,0.7526666363189307,0.7429768270330643,0.00968980928586638,0.012873972112350248,1.2873972112350247,5944
talk,11,occ_token_region_transformer,0.7496904206654669,0.7377154647681201,0.011974955897346762,0.01597320116044317,1.597320116044317,5944
